metric_name	Entire Run	50918036C_HPSID_002_L1	50918124C_HPSID_004_L1	50918402C_HPSID_005_L1	50918538C_HPSID_006_L1	50918870C_HPSID_007_L1	50918871C_HPSID_008_L1	50918872C_HPSID_010_L1	50918873C_HPSID_011_L1	50919226C_HPSID_012_L1	50919228C_HPSID_013_L1	50919229C_HPSID_014_L1	50919232C_HPSID_015_L1	50919286C_HPSID_016_L1	50919291C_HPSID_017_L1	50919762C_HPSID_018_L1	50919764C_HPSID_019_L1	50919765C_HPSID_020_L1	50921887C_HPSID_021_L1	50921888C_HPSID_022_L1	50921890C_HPSID_023_L1	50921891C_HPSID_024_L1	50921894C_HPSID_025_L1	50922308C_HPSID_026_L1	50922842C_HPSID_027_L1	50922843C_HPSID_028_L1	50922845C_HPSID_029_L1	50923318C_HPSID_030_L1	50923325C_HPSID_031_L1	50923326C_HPSID_032_L1	50923328C_HPSID_033_L1	50923756C_HPSID_034_L1	50923758C_HPSID_035_L1	50923759C_HPSID_036_L1	50923760C_HPSID_037_L1	50923762C_HPSID_038_L1	50924230C_HPSID_039_L1	50924575C_HPSID_042_L1	50924582C_HPSID_043_L1	50924600C_HPSID_044_L1	50925090C_HPSID_046_L1	50925091C_HPSID_047_L1	50925093C_HPSID_048_L1	50925096C_HPSID_050_L1	50925512C_HPSID_051_L1	50925513C_HPSID_052_L1	50925514C_HPSID_053_L1
alignment_metrics/deduped_autosomes/accuracy/all_errors_with_indel_bases/phred	NA	40.56	39.69	39.14	34.88	25.03	26.29	36.78	37.85	25.03	41.10	36.58	38.16	38.89	32.06	38.90	36.90	29.84	44.27	40.17	27.25	35.95	37.75	36.03	42.32	26.63	38.63	38.86	42.31	37.63	34.27	33.60	37.25	28.21	40.59	36.22	40.26	39.84	39.01	36.45	36.53	29.91	39.29	32.88	36.69	37.26	37.10
alignment_metrics/deduped_autosomes/coverage/median/any_coverage	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
alignment_metrics/deduped_autosomes/coverage/median/concordant_duplex_coverage	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
alignment_metrics/deduped_autosomes/read_metrics/duplicate_reads%	NA	4.77%	7.48%	5.87%	7.39%	6.56%	5.97%	4.14%	11.84%	6.31%	4.41%	4.64%	5.96%	4.37%	6.09%	6.51%	5.66%	5.47%	4.94%	5.04%	6.26%	4.05%	8.22%	5.25%	6.59%	6.71%	4.67%	6.71%	6.42%	5.46%	5.66%	5.84%	4.74%	5.80%	5.86%	4.82%	5.45%	10.26%	4.41%	4.48%	6.02%	4.80%	7.19%	5.16%	5.08%	7.58%	7.66%
alignment_metrics/deduped_autosomes/read_metrics/mean/post_filter_read_length_excluding_soft_clipped_bases	NA	45	44	43	46	57	51	43	45	92	44	50	43	42	73	41	46	62	47	45	50	84	44	48	45	88	48	53	93	46	45	48	56	47	43	43	48	60	48	51	56	83	54	50	52	47	43
alignment_metrics/deduped_autosomes/read_metrics/soft_clipped_bases%	NA	0.13%	0.14%	0.14%	0.13%	0.15%	0.14%	0.13%	0.15%	0.24%	0.13%	0.14%	0.13%	0.14%	0.18%	0.13%	0.14%	0.14%	0.13%	0.13%	0.16%	0.16%	0.14%	0.13%	0.14%	0.21%	0.14%	0.15%	0.15%	0.14%	0.14%	0.15%	0.13%	0.12%	0.13%	0.13%	0.14%	0.14%	0.12%	0.13%	0.13%	0.21%	0.14%	0.14%	0.14%	0.14%	0.13%
alignment_metrics/deduped_high_confidence/accuracy/all_errors_with_indel_bases/phred	NA	46.65	42.52	44.36	30.90	23.75	25.06	93.00	45.10	24.65	93.00	39.58	38.78	40.51	33.34	93.00	93.00	26.99	48.04	43.16	26.21	36.14	93.00	45.93	44.04	25.98	46.59	37.24	47.26	93.00	37.69	31.08	93.00	93.00	93.00	33.53	52.93	49.47	93.00	93.00	38.91	29.24	43.35	32.29	38.50	36.62	31.47
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/any/10/phred	NA	NA	NA	NA	NA	93.000000	3.010300	93.000000	6.989700	4.494498	NA	NA	93.000000	NA	5.528420	NA	-0.000000	6.989700	93.000000	NA	93.000000	8.450980	-0.000000	NA	93.000000	4.607308	-0.000000	93.000000	10.413927	93.000000	3.010300	6.020600	93.000000	93.000000	93.000000	NA	93.000000	9.030900	3.010300	93.000000	93.000000	4.336556	93.000000	NA	-0.000000	7.781513	93.000000
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/any/8/phred	NA	3.010300	NA	3.979400	93.000000	4.471580	3.979400	6.989700	20.934217	5.515036	93.000000	1.249387	93.000000	93.000000	7.178553	93.000000	2.218487	17.558749	7.781513	NA	93.000000	18.475727	10.413927	4.771213	93.000000	5.096505	3.979400	93.000000	15.340261	93.000000	10.413927	93.000000	93.000000	6.020600	93.000000	3.979400	93.000000	10.211893	93.000000	93.000000	3.467875	6.020600	93.000000	93.000000	12.430380	7.269987	93.000000
alignment_metrics/deduped_high_confidence/coverage/ratio_median_to_10_percentile/concordant_duplex_coverage	NA	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
gc_bias/deduped/bins_20-70_normalized_coverage_0.8-1.2%	NA	3.92	1.96	5.88	7.84	5.88	5.88	7.84	7.84	15.69	3.92	3.92	3.92	7.84	15.69	5.88	5.88	9.80	3.92	3.92	11.76	7.84	5.88	5.88	3.92	15.69	5.88	3.92	1.96	3.92	3.92	3.92	3.92	7.84	5.88	7.84	7.84	7.84	5.88	9.80	5.88	17.65	5.88	3.92	5.88	5.88	3.92
gc_bias/deduped/gc_nc_0_19	NA	12.94383	13.062878	16.661123	12.250333	10.7423	11.106618	12.113658	12.733087	4.838477	12.865485	11.852239	12.758614	11.569706	10.733079	11.511781	17.12878	10.803537	12.713546	12.598913	14.099097	11.032613	13.563972	12.317671	12.276887	4.856656	13.167072	16.198116	12.116034	11.933169	12.323446	13.155804	12.999505	12.939326	13.246024	13.338802	14.299896	12.440744	12.475237	12.464062	12.609554	5.345663	13.196938	12.964573	13.13636	13.635522	13.115037
gc_bias/deduped/gc_nc_80_100	NA	323.611905	305.097127	299.221683	347.616908	259.341651	269.91632	310.746458	270.113716	82.609342	321.722346	300.886971	311.023149	327.359111	183.931351	315.865049	295.539317	285.05383	313.607172	319.652769	260.86311	259.143071	317.409587	308.540947	300.316704	82.064638	331.411899	308.88729	302.240542	305.38737	345.987374	308.358065	323.14295	350.875164	310.501607	319.389788	312.964637	260.508031	314.774571	328.136688	271.836504	107.179967	313.578501	316.431804	300.052747	296.752512	305.71995
